id,x_0,x_1
0.0,1.7106900215148926,1.735020399093628
1.0,-1.7893788814544678,-1.7590131759643555
2.0,0.6875502467155457,1.7829115390777588
3.0,-1.8397235870361328,-1.8196117877960205
4.0,-1.7771049737930298,-1.788585901260376
5.0,-1.7399808168411255,-1.752233862876892
6.0,-1.7752530574798584,-1.7604514360427856
7.0,1.8157052993774414,1.780603289604187
8.0,-1.685852289199829,-1.7115851640701294
9.0,-1.7731081247329712,-1.7642523050308228
10.0,-1.8718990087509155,-1.7026028633117676
11.0,-1.7036385536193848,-1.6769938468933105
12.0,0.8350884914398193,1.80976402759552
13.0,-1.785582184791565,-1.7467097043991089
14.0,-1.6960792541503906,-1.6787402629852295
15.0,-1.7530325651168823,-1.7629896402359009
16.0,-1.8015059232711792,-1.777342438697815
17.0,1.8917295932769775,1.8996601104736328
18.0,0.28919821977615356,-1.0406817197799683
19.0,1.7864103317260742,1.8286149501800537
20.0,-1.7480096817016602,-1.832118034362793
21.0,-1.6864657402038574,-0.9858173131942749
22.0,1.5410876274108887,0.3308461904525757
23.0,-1.8765227794647217,-1.8683205842971802
24.0,1.7835649251937866,1.7741587162017822
25.0,-1.7403416633605957,-1.7346101999282837
26.0,-1.8101260662078857,-1.776301383972168
27.0,-1.811418056488037,-1.7921658754348755
28.0,1.7741965055465698,1.7891733646392822
29.0,-1.8464516401290894,-1.8182246685028076
30.0,-1.8384613990783691,-1.8115720748901367
31.0,-1.7165359258651733,-1.7508089542388916
32.0,-1.7969019412994385,-1.7789397239685059
33.0,1.3091901540756226,-0.494571715593338
34.0,-1.7690041065216064,-1.760271668434143
35.0,-1.7798360586166382,-1.809203863143921
36.0,-1.7019085884094238,-1.6791884899139404
37.0,-1.908948540687561,-1.8088704347610474
38.0,-1.7239972352981567,-1.7581219673156738
39.0,-1.7000709772109985,-1.6740355491638184
40.0,0.9279119968414307,1.826897144317627
41.0,1.5184903144836426,0.3363511264324188
42.0,-1.709104061126709,-1.8259894847869873
43.0,-1.9037278890609741,-1.8794673681259155
44.0,-1.836759328842163,-1.8620504140853882
45.0,1.7964497804641724,1.8131595849990845
46.0,-1.82066011428833,-1.7783870697021484
47.0,1.7700190544128418,1.7916159629821777
48.0,1.6140823364257812,2.1410038471221924
49.0,1.7831339836120605,1.7880216836929321
50.0,1.7875648736953735,1.7744076251983643
51.0,-0.9083006978034973,-1.8714646100997925
52.0,-1.8241562843322754,-1.789121389389038
53.0,-1.6953094005584717,-1.6719218492507935
54.0,-1.7668840885162354,-1.7846914529800415
55.0,1.7911863327026367,1.8094475269317627
56.0,-0.6629279255867004,0.9975970983505249
57.0,1.1842474937438965,1.9613747596740723
58.0,-1.7506053447723389,-1.7946186065673828
59.0,-1.815685749053955,-1.8181192874908447
60.0,-1.695575475692749,-1.6678638458251953
